"Welfare" "Constant" "X1" "X2" "Domain" "SampWeight"
20.3623770350888 1 1 1 1 5
12.2287776205891 1 1 0 1 5
16.827733504759 1 0 1 1 5
9.86444899254693 1 1 1 1 5
12.8396373460926 1 0 0 1 5
9.56615560447382 1 1 0 1 5
26.1277341608199 1 0 0 1 5
10.8330091055318 1 0 1 1 5
27.2851744685309 1 0 0 1 5
13.3463976632726 1 0 0 1 5
48.2416637322983 1 0 1 1 5
30.5881359582317 1 0 0 1 5
21.1470905490695 1 1 1 1 5
26.6342292098305 1 1 0 1 5
11.8142598125004 1 0 0 1 5
14.0036990447141 1 0 0 1 5
28.5322203156629 1 0 0 1 5
25.0711797021835 1 1 0 1 5
27.6413513194163 1 0 0 1 5
22.1082651469426 1 0 0 1 5
33.8348426090011 1 1 0 1 5
15.2280430204065 1 0 0 1 5
22.4375448139875 1 0 0 1 5
20.0047631753116 1 1 0 1 5
61.7290711954214 1 1 0 1 5
39.2466864574544 1 0 1 1 5
16.5247811158753 1 0 0 1 5
12.7301066172361 1 0 0 1 5
17.8370782228058 1 0 1 1 5
21.9664024335099 1 0 0 1 5
20.1540338449536 1 1 0 1 5
20.2167892555660 1 0 0 1 5
21.4911092459862 1 0 0 1 5
15.6739319771532 1 0 1 1 5
15.2038114644802 1 1 0 1 5
11.7426428083164 1 1 0 1 5
15.0026146181893 1 0 0 1 5
19.6487465355946 1 0 1 1 5
31.4530632113012 1 0 1 1 5
18.5430079988289 1 1 0 1 5
12.6566806305623 1 0 1 1 5
22.8455366399297 1 0 0 1 5
13.7217210012206 1 0 0 1 5
12.1591399541748 1 0 0 1 5
16.2228768986095 1 0 0 1 5
9.00943578927446 1 0 0 1 5
24.6735311724304 1 0 0 1 5
23.602145718734 1 1 0 1 5
21.1693528192523 1 0 1 1 5
7.00527719416357 1 1 1 1 5
13.8675141229499 1 0 0 2 5
27.3360471932741 1 0 1 2 5
26.0779803799719 1 0 1 2 5
23.9395313290938 1 1 0 2 5
20.1159268886048 1 0 0 2 5
18.6875530307622 1 0 1 2 5
7.44025978765108 1 1 0 2 5
11.9598988708244 1 0 0 2 5
31.5143105287318 1 1 0 2 5
12.7973824010640 1 0 0 2 5
24.8852555851526 1 1 0 2 5
12.5440196270811 1 0 0 2 5
27.3859454182047 1 0 0 2 5
8.50474052468977 1 0 0 2 5
19.3789234146866 1 0 1 2 5
73.355995266945 1 1 1 2 5
31.5635606202836 1 1 0 2 5
19.8843126752042 1 1 0 2 5
26.4186157984479 1 1 0 2 5
18.4315085387147 1 0 0 2 5
15.1912815079092 1 0 0 2 5
6.33603737395334 1 0 0 2 5
15.7506810784818 1 0 0 2 5
13.3321667577220 1 0 0 2 5
31.1193273773641 1 0 0 2 5
55.7615675816828 1 0 1 2 5
20.1637397948223 1 1 0 2 5
7.88027797329347 1 0 0 2 5
13.6446563958574 1 1 1 2 5
24.450165114681 1 0 0 2 5
27.3199225105404 1 0 1 2 5
19.1722424958389 1 1 1 2 5
9.02759262114654 1 0 0 2 5
27.1223081649551 1 0 0 2 5
13.9547964257506 1 0 0 2 5
24.0046311652803 1 1 0 2 5
17.0407556946033 1 0 1 2 5
11.299366415912 1 0 1 2 5
18.8822426806790 1 1 0 2 5
41.9235648788490 1 0 0 2 5
15.1737828337693 1 0 0 2 5
38.5205527785632 1 0 1 2 5
10.7974590656178 1 1 0 2 5
20.2629978863507 1 0 1 2 5
40.5295149230278 1 0 0 2 5
44.4018766210281 1 0 0 2 5
16.3782848606566 1 0 0 2 5
8.20268825573904 1 0 0 2 5
13.6624748900975 1 1 1 2 5
14.523505836067 1 1 1 2 5
30.4308034420662 1 0 0 3 5
82.0425243986437 1 0 0 3 5
34.7696192426749 1 1 0 3 5
25.4042645304641 1 0 1 3 5
40.6710080328133 1 0 1 3 5
14.7459476994223 1 0 0 3 5
18.0627431985900 1 1 0 3 5
28.1202549981504 1 0 0 3 5
31.3470780671826 1 0 0 3 5
27.2319548895634 1 1 1 3 5
20.2232247992619 1 0 0 3 5
12.5979235387016 1 0 1 3 5
19.0280241301831 1 1 0 3 5
36.537081460804 1 0 0 3 5
24.5665846073914 1 0 0 3 5
21.5279911654169 1 1 0 3 5
12.3317120730142 1 0 0 3 5
57.5840069924183 1 0 0 3 5
23.7583521766888 1 0 0 3 5
12.2821675568450 1 0 1 3 5
24.1046582315881 1 1 1 3 5
15.1054706195957 1 0 0 3 5
26.6575237511927 1 0 1 3 5
35.9915452080438 1 0 1 3 5
23.5511719733545 1 0 0 3 5
24.527290894112 1 0 1 3 5
41.7755968538586 1 1 0 3 5
25.6240704569044 1 1 0 3 5
17.7389180342131 1 0 1 3 5
20.2216094170090 1 0 0 3 5
20.6738657028004 1 1 0 3 5
15.745259811237 1 0 0 3 5
18.0854581133751 1 1 0 3 5
27.3806706515887 1 0 0 3 5
34.6491535100791 1 0 0 3 5
14.5535416905738 1 1 0 3 5
16.1055296954162 1 0 0 3 5
20.2812781202117 1 0 0 3 5
25.8062116782310 1 1 0 3 5
30.7349615223420 1 0 1 3 5
37.6996354082532 1 1 0 3 5
19.8711233180974 1 0 0 3 5
49.8530531197124 1 0 0 3 5
7.2335602793569 1 0 0 3 5
25.0641862070827 1 0 0 3 5
16.3404456576262 1 0 0 3 5
19.5401942352645 1 0 0 3 5
25.0763951594547 1 1 0 3 5
22.4774747760460 1 0 0 3 5
32.9078010400815 1 0 0 3 5
33.3090681457688 1 0 0 4 5
16.1127053850192 1 1 0 4 5
36.5053988987127 1 0 0 4 5
26.0503366574609 1 0 0 4 5
11.6107798460961 1 0 0 4 5
18.1370031459892 1 1 0 4 5
10.9684882315151 1 0 0 4 5
21.9852207838214 1 0 0 4 5
20.5196507388064 1 0 0 4 5
16.4659079067898 1 0 1 4 5
33.8096736304972 1 0 1 4 5
16.5486839855717 1 0 0 4 5
41.8437727738816 1 0 0 4 5
33.4141395803996 1 0 1 4 5
55.216194281033 1 1 0 4 5
